abitare (a)	to live (in)
abito	dress
acqua	water
adesso	now
adulto	adult
aereo/aeroplano	airplane
agosto	August
aiutare	to help
aiuto	help
albergo	hotel
albero	tree
alfabeto	alphabet
alto	tall, high
altro	other
alzarsi	to stand up
amare	to love
amaro	bitter
amico	male friend
amore	love
anche	also
ancora	again, yet
andare	to go
animale	animal
animale domestico	pet
anno	year
annoiato	bored
aperto	open
aprile	April
aprire	to open
arancia	orange
arancione	orange (color)
arrivare	to arrive
arrivederci	goodbye
ascoltare	to listen
aspettare	to wait
auto	car
autobus	bus
autunno	autumn, fall
avere	to have
avere fame	to be hungry
avere sete	to be thirsty
azzurro	light blue
bagno	bath, bathroom
ballare	to dance
ballo	dance
bambina	female kid
bambino	male kid
banana	banana
banca	bank
bar	bar
barba	beard
barca	boat
basket	basketball
basso	low, small
bello	beautiful, nice
bene	well
bere	to drink
bevanda/bibita	drink
bianco	white
biondo	blonde
bicchiere	(drinking) glass
bici/bicicletta	bicycle
biglietto	ticket
birra	beer
biscotto	cookie
bisogno	need
blu	blue
bocca	mouth
borsa	bag
braccio	arm
bravo	good, capable
buongiorno	good morning
buon pomeriggio	good afternoon
buonanotte	good night
buonasera	good evening
buono	good
burro	butter
caffè	coffee
calcio	soccer; kick
caldo	hot
calza	sock
cambiare	to change
camera	room
camera da letto	bedroom
cameriera	waitress
cameriere	waiter
camicia	shirt
camminare	to walk
cane	dog
cantare	to sing
canzone	song
capelli	hair
capire	to understand
cappello	hat
cappuccino	cappuccino
carne	meat
caro	expensive, dear
carta	paper
casa	house, home
castano	brown-haired
cattivo	bad
cavalcare	to ride
cavallo	horse
cellulare	mobile phone
cena	dinner
cenare	to have dinner
cercare	to search for
chi	who
chiamare	to call
chiamata	call
chiave	key
chiedere	to ask
chitarra	guitar
chiudere	to close
chiuso	closed
ciao	hello, hi
ciascuno	both, each
cibo	food
cinema	cinema
cinque	five
cioccolato	chocolate
città	city
classe	classroom
cognome	surname
colazione	breakfast
colore	color
coltello	knife
come	how, as, like
cominciare	to begin
compiti	homework
compleanno	birthday
comprare	to buy
computer	computer
conoscere	to know
controllare	to control, check
conversazione	conversation
corpo	body
correre	to run
corretto	correct
corso	course
corto	short
cosa	what, thing
costare	to cost
creare	to create, make
credere	to believe
cucina	kitchen
cucinare	to cook (activity)
cuoco	cook
danzare	to dance
dare	to give
data	date
davanti	in front of
davvero	really
dente	tooth
dentro	inside
destra	right (direction)
dicembre	December
diciannove	nineteen
diciassette	seventeen
diciotto	eighteen
dieci	ten
dietro	behind
difficile	difficult, hard
dimenticare	to forget
dire	to say
disegnare	to draw
diverso	different
divertente	funny
divertimento	fun
divertirsi	to enjoy oneself
dizionario	dictionary
doccia	shower
dodici	twelve
dolce	sweet
dollaro	dollar
domanda	question
domani	tomorrow
domenica	Sunday
donna	woman
dopo	after
dormire	to sleep
dottore	doctor (male)
dottoressa	doctor (female)
dove	where
dovere	must, have to
due	two
e-mail	e-mail
economico	cheap
entrambi	both
entrare	to get in
erba	grass
esame	exam
esempio	example
essere	to be
estate	summer
età	age
fabbrica	factory
faccia	face
facile	easy
fame	hunger
famiglia	family
famoso	famous
fantastico	great, fantastic
fare	to do
fare la spesa	to do the shopping
farmacia	pharmacy
fattoria	farm
febbraio	February
felice	happy
fermare/fermarsi	to stop
festa	party
figlia	daughter
figlio	son
film	movie
fine	end
finestra	window
finire	to end, finish
fiore	flower
fiume	river
formaggio	cheese
foto/fotografia	photo
frase	sentence
fratello	brother
freddo	cold
frutta	fruit
fumare	to smoke
fuori	outside
gamba	leg
gatto	cat
gelato	ice cream
genitori	parents
gennaio	January
gente	people
gentile	kind, gentle
giacca	jacket
giallo	yellow
giardino	garden
giocare	to play (a game)
gioco	play, game
giornale	newspaper
giornata	day, daytime
giorno	day
giovane	young
giovedì	Thursday
giugno	June
giù	below, down
giusto	right, correct
gonna	skirt
grande	big, large
grasso	fat
grazie	thanks
grigio	grey
gruppo	group
guardare	to look at, to watch
guidare	to drive, to guide
hobby	hobby
hotel	hotel
ieri	yesterday
immagine	picture
imparare	to learn
importante	important
impossibile	impossible
incontrare	to meet
indietro	back
indirizzo	address
indossare	to wear
iniziare	to start
insegnante	teacher
insegnare	to teach
insieme	together
intelligente	intelligent
interessante	interesting
inverno	winter
inviare	to send
invitare	to invite
italiano	Italian
jeans	jeans
là, lì	there
largo	wide
lasciare	to leave, let
latte	milk
lavagna	blackboard
lavare	to clean, wash
lavorare	to work
lavoro	job, work
leggere	to read
lento	slow
lettera	letter
letto	bed
lettura	reading
lezione	lesson
libro	book
lingua	tongue, language
linguaggio	language
lontano	far
luce	light
luglio	July
lunedì	Monday
lungo	long
macchina	machine; car
macchina fotografica	camera
madre	mother
maggio	May
maglietta	t-shirt
magro	thin
mai	never
maiale	pig
male	bad, badly
mamma	mom
mandare	to send
mangiare	to eat
mano	hand
mare	sea
marito	husband
marrone	brown
martedì	Tuesday
marzo	March
maschio	male
matita	pencil
mattina	morning
mattino	morning
medico	doctor
mela	apple
mercoledì	Wednesday
mese	month
messaggio	message
metà	half
mettere	to put
mi dispiace	I’m sorry
migliore	best, better
minuto	minute
moglie	wife
molto	much
mondo	world
montagna	mountain
morire	to die
mostrare	to show
mucca	cow
muro	wall
museo	museum
musica	music
naso	nose
Natale	Christmas
nazionalità	nationality
nazione	nation, country
negozio	shop
neonato	baby
nero	black
nessuno	nobody
neve	snow
niente	nothing
noioso	boring
nome	name
notte	night
nove	nine
novembre	November
numero	number
nuotare	to swim
nuovo	new
o, oppure	or
occhiali	reading glasses
occhio	eye
oggi	today
ogni	every, each
ora	hour
orecchio	ear
orologio	clock
ospedale	hospital
ottenere	to get, to obtain
otto	eight
ottobre	October
padre	father
pagare	to pay
pagina	page
paio	pair
palla	ball
pane	bread
panino	sandwich
pantaloni	pants
papà	dad
parcheggiare	to park
parcheggio	parking lot
parco	park
parlare	to talk, speak
parola	word
parte	part
partire	to leave, go
Pasqua	Easter
pasta	pasta
patata	potato
pecora	sheep
penna	pen
pensare	to think
per favore	please
perché	why, because
persona	person
pesce	fish
piacere	to like
piano	floor (of a house)
pianta	plant
piatto	dish
piatto	flat
piccolo	small, little
picnic	picnic
piede	foot
pioggia	rain
piovere	to rain
piscina	swimming pool
pizza	pizza
pizzeria	pizzeria
pomeriggio	afternoon
pomodoro	tomato
porta	door
portare	to bring, carry
possibile	possible
posto	place
potere	can, to be able to
povero	poor
pranzare	to have lunch
pranzo	lunch
preferito	favorite
prego	you’re welcome
prendere	to take, catch
preoccuparsi	to worry
presto	soon
prima	before
primavera	spring
primo	first
problema	problem
programma	program
pronto	ready
prossimo	next
pulire	to clean
pulito	clean
 qui	here
qualche	some
qualche volta	sometimes
qualcosa	something
qualcuno	someone
quale	which
quando	when
quanto	how much
quattordici	fourteen
quattro	four
quello	that
questo	this
quindici	fifteen
radio	radio
ragazza	girl
ragazzo	boy
regalo	gift, present
ricco	rich
ricordare	to remember
ridere	to laugh
rispondere	to answer
risposta	answer
ristorante	restaurant
rosso	red
rumore	noise
sabato	Saturday
sale	salt
salotto	living room
sapere	to know
sbagliato	wrong
scarpa	shoe
scatola	box
scegliere	to choose
schiena	back
scrittura	writing
scrivania	desk
scrivere	to write
scuola	school
scusarsi	to apologize
secondo	second (place)
secondo	second (time)
sedersi	to sit down
sedia	chair
sedici	sixteen
sei	six
semplice	simple
sempre	always
sentire	to hear, feel
sera	evening
sete	thirst
sette	seven
settembre	September
settimana	week
sicuro	sure, safe
signora	Mrs
signore	Mr
sinistra	left (direction)
soggetto	subject
soldi	money
sole	sun
solo	just, only
sopra	over, above
sorella	sister
sotto	below, under
spesa	grocery shopping
spesso	often
spiaggia	beach
sporco	dirty
sport	sport
stanco	tired
stanza	room
stare	to stay, to be
stasera	tonight
stazione	station
stesso	same
strada	road, street
studente	student (male)
studentessa	student (female)
studiare	to study
succo	juice
suonare	to play (an instrument)
supermercato	supermarket
svegliarsi	to wake up
tanto	much
tardi	late
tavolo	table
taxi	taxi
tazza	mug
tazzina	cup
tè	tea
telefonare	to call on the phone
telefono	phone
televisione	TV
tempo	time, weather
tennis	tennis
testa	head
testo	text
tiepido	warm
torta	cake
tre	three
tredici	thirteen
treno	train
triste	sad
troppo	too much
trovare	to find
tutto	all, everything
uccello	bird
ufficio	office
ultimo	last
undici	eleven
università	university
uno	one
uomo	man
uovo	egg
usare	to use
uscire	to get out
vacanze	holidays
vaso	vase
vecchio	old
vedere	to see
veloce	fast
venerdì	Friday
venire	to come
venti	twenty
vento	wind
verde	green
verdura	vegetables
vestiti	clothes
vetro	glass
via	street
viaggiare	to travel
viaggio	trip, travel, journey
vicino	near
vino	wine
visita	visit
visitare	to visit
vita	life
vivere	to live, to be alive
volare	to fly
volere	to want
weekend	weekend
zaino	rucksack
zero	zero
zoo	zoo
zucchero	sugar
