infinitive,tense,person,new_example,new_example_english
dire,presente,io,"Dico sempre la verità anche quando può ferire i sentimenti delle persone care","I always tell the truth even when it might hurt the feelings of dear people"
dire,presente,tu,"Tu dici spesso cose divertenti che fanno ridere tutti durante le cene in famiglia?","Do you often say funny things that make everyone laugh during family dinners?"
dire,presente,lui,"Lei dice sempre quello che pensa senza preoccuparsi delle conseguenze sociali delle sue parole","She always says what she thinks without worrying about social consequences of her words"
dire,presente,noi,"Diciamo sempre le nostre opinioni apertamente durante le discussioni politiche importanti","We always express our opinions openly during important political discussions"
dire,presente,voi,"Voi dite mai bugie innocenti per non ferire i sentimenti degli altri?","Do you ever tell innocent lies to avoid hurting others' feelings?"
dire,presente,loro,"Dicono sempre parole di incoraggiamento ai figli prima degli esami scolastici difficili","They always say encouraging words to their children before difficult school exams"
dire,futuro_semplice,io,"Dirò finalmente tutta la verità su quello che è successo quella notte","I will finally tell the whole truth about what happened that night"
dire,futuro_semplice,tu,"Tu dirai quello che pensi veramente durante l'incontro di lavoro di domani?","Will you say what you really think during tomorrow's work meeting?"
dire,futuro_semplice,lui,"Lei dirà le parole giuste per consolare sua madre durante questo momento difficile","She will say the right words to console her mother during this difficult moment"
dire,futuro_semplice,noi,"Diremo addio con il cuore pesante ai nostri amici che si trasferiscono","We will say goodbye with heavy hearts to our friends who are moving away"
dire,futuro_semplice,voi,"Voi direte la vostra opinione sincera su questo progetto controverso che divide tutti?","Will you give your sincere opinion on this controversial project that divides everyone?"
dire,futuro_semplice,loro,"Diranno le loro ragioni durante l'udienza pubblica che si terrà in tribunale","They will state their reasons during the public hearing that will be held in court"
dire,passato_prossimo,io,"Ho detto cose di cui ora mi pento profondamente e vorrei poter tornare indietro","I said things I now deeply regret and wish I could go back"
dire,passato_prossimo,tu,"Hai detto la cosa giusta al momento giusto per risolvere quella situazione tesa?","Did you say the right thing at the right moment to resolve that tense situation?"
dire,passato_prossimo,lui,"Ha detto parole molto commoventi durante il discorso funebre per il nonno","He said very moving words during the funeral speech for grandfather"
dire,passato_prossimo,noi,"Abbiamo detto tutto quello che avevamo nel cuore durante quella conversazione importante","We said everything we had in our hearts during that important conversation"
dire,passato_prossimo,voi,"Avete detto cose terribili durante la lite che ora vorreste non aver mai pronunciato?","Did you say terrible things during the fight that you now wish you had never said?"
dire,passato_prossimo,loro,"Hanno detto addio per sempre prima che lui partisse per il servizio militare","They said goodbye forever before he left for military service"
disegnare,presente,io,"Disegno sempre paesaggi naturali quando vado in vacanza per catturare la bellezza","I always draw natural landscapes when I go on vacation to capture beauty"
disegnare,presente,tu,"Tu disegni ancora come quando eri bambino o hai perso questa passione artistica?","Do you still draw like when you were a child or have you lost this artistic passion?"
disegnare,presente,lui,"Lei disegna ritratti magnifici che sembrano fotografie per la precisione dei dettagli","She draws magnificent portraits that look like photographs due to detail precision"
disegnare,presente,noi,"Disegniamo insieme progetti architettonici per la nuova casa che vogliamo costruire","We draw architectural projects together for the new house we want to build"
disegnare,presente,voi,"Voi disegnate spesso durante il tempo libero o preferite altre attività creative?","Do you often draw during free time or do you prefer other creative activities?"
disegnare,presente,loro,"Disegnano fumetti originali che pubblicano sulla loro rivista mensile indipendente","They draw original comics that they publish in their independent monthly magazine"
disegnare,futuro_semplice,io,"Disegnerò i piani della mia casa ideale quando avrò risparmiato abbastanza denaro","I will draw plans for my ideal house when I have saved enough money"
disegnare,futuro_semplice,tu,"Tu disegnerai finalmente quel ritratto che mi hai promesso da più di un anno?","Will you finally draw that portrait you promised me over a year ago?"
disegnare,futuro_semplice,lui,"Lei disegnerà le illustrazioni per il libro di fiabe che sta scrivendo","She will draw illustrations for the fairy tale book she is writing"
disegnare,futuro_semplice,noi,"Disegneremo insieme il giardino perfetto per la nostra casa di campagna","We will design together the perfect garden for our country house"
disegnare,futuro_semplice,voi,"Voi disegnerete i costumi per lo spettacolo teatrale che metterete in scena?","Will you design costumes for the theatrical show you will stage?"
disegnare,futuro_semplice,loro,"Disegneranno murales colorati sui muri grigi del quartiere per abbellirlo","They will draw colorful murals on gray neighborhood walls to beautify it"
disegnare,passato_prossimo,io,"Ho disegnato per ore quel paesaggio marino che mi aveva colpito durante","I drew for hours that seascape that had struck me during the trip"
disegnare,passato_prossimo,tu,"Hai disegnato qualcosa di bello durante il corso di arte che hai frequentato?","Did you draw something beautiful during the art course you attended?"
disegnare,passato_prossimo,lui,"Ha disegnato il progetto della sua invenzione su decine di fogli diversi","He drew the design of his invention on dozens of different sheets"
disegnare,passato_prossimo,noi,"Abbiamo disegnato una mappa dettagliata del tesoro nascosto per i bambini","We drew a detailed map of hidden treasure for the children"
disegnare,passato_prossimo,voi,"Avete disegnato tutti i personaggi del fumetto che volete pubblicare prossimamente?","Did you draw all characters of the comic you want to publish soon?"
disegnare,passato_prossimo,loro,"Hanno disegnato graffiti artistici sul muro della scuola con il permesso","They drew artistic graffiti on the school wall with permission"
divertirsi,presente,io,"Mi diverto sempre quando esco con gli amici storici che conosco da anni","I always have fun when I go out with old friends I've known for years"
divertirsi,presente,tu,"Ti diverti mai da solo a casa o hai sempre bisogno di compagnia?","Do you ever have fun alone at home or do you always need company?"
divertirsi,presente,lui,"Si diverte moltissimo quando suona la chitarra davanti al pubblico entusiasta","He has a lot of fun when playing guitar in front of enthusiastic audiences"
divertirsi,presente,noi,"Ci divertiamo sempre durante le serate karaoke che organizziamo ogni fine settimana","We always have fun during karaoke nights we organize every weekend"
divertirsi,presente,voi,"Vi divertite spesso durante le vacanze estive al mare con tutta la famiglia?","Do you often have fun during summer beach vacations with the whole family?"
divertirsi,presente,loro,"Si divertono un mondo quando ballano insieme alle feste del paese","They have a blast when dancing together at village festivals"
divertirsi,futuro_semplice,io,"Mi divertirò sicuramente durante il viaggio che ho organizzato per il prossimo mese","I will surely have fun during the trip I organized for next month"
divertirsi,futuro_semplice,tu,"Ti divertirai finalmente a quella festa che non volevi frequentare inizialmente?","Will you finally have fun at that party you initially didn't want to attend?"
divertirsi,futuro_semplice,lui,"Si divertirà molto quando andrà al parco divertimenti con i suoi nipotini","He will have a lot of fun when he goes to the amusement park with his grandchildren"
divertirsi,futuro_semplice,noi,"Ci divertiremo tutti insieme durante la crociera che abbiamo prenotato per l'estate","We will all have fun together during the cruise we booked for summer"
divertirsi,futuro_semplice,voi,"Vi divertirete durante il corso di ballo che inizierete la settimana prossima?","Will you have fun during the dance course you'll start next week?"
divertirsi,futuro_semplice,loro,"Si divertiranno moltissimo al matrimonio dove suoneranno come band musicale","They will have a lot of fun at the wedding where they'll play as a band"
divertirsi,passato_prossimo,io,"Mi sono divertito tantissimo alla festa di compleanno organizzata a sorpresa","I had so much fun at the surprise birthday party organized for me"
divertirsi,passato_prossimo,tu,"Ti sei divertito durante la vacanza in montagna nonostante il tempo incerto?","Did you have fun during the mountain vacation despite uncertain weather?"
divertirsi,passato_prossimo,lui,"Si è divertito come un bambino al circo che è venuto in città","He had fun like a child at the circus that came to town"
divertirsi,passato_prossimo,noi,"Ci siamo divertiti per ore giocando a carte durante la serata piovosa","We had fun for hours playing cards during the rainy evening"
divertirsi,passato_prossimo,voi,"Vi siete divertiti abbastanza durante la festa o volete continuare a ballare?","Did you have enough fun during the party or do you want to continue dancing?"
divertirsi,passato_prossimo,loro,"Si sono divertiti tantissimo durante il carnevale con i costumi coloratissimi","They had so much fun during carnival with very colorful costumes"
entrare,presente,io,"Entro sempre in casa togliendo le scarpe per non sporcare i pavimenti puliti","I always enter the house taking off my shoes to not dirty clean floors"
entrare,presente,tu,"Tu entri spesso nei negozi solo per curiosare senza comprare niente?","Do you often enter stores just to browse without buying anything?"
entrare,presente,lui,"Lei entra in ufficio molto presto ogni mattina per evitare il traffico","She enters the office very early every morning to avoid traffic"
