infinitive,infinitive_ipa,context,synonyms,reflexive_type,grammar_fixes,example_improvements,participio_example
essere,/ˈɛssere/,"Fundamental copula verb used for permanent characteristics, identity, and location with essere auxiliary",stare,regular,"",contextual,"È stato un grande onore conoscerti."
abitare,/abi'tare/,"Used for place of residence; permanent dwelling vs temporary stays","vivere,risiedere",regular,"",contextual,"La casa è stata abitata per molti anni."
aiutare,/aju'tare/,"To provide assistance or support to someone in need","assistere,supportare,soccorrere",regular,"",contextual,"La persona aiutata ha mostrato grande gratitudine."
alzarsi,/al'tsarsi/,"Reflexive verb for getting out of bed or standing up from sitting","svegliarsi,levarsi",reflexive,"wake uped→woke up,get up/wake uped→got up,he/she/it get up→he/she gets up",reflexive_contextual,"Il bambino è stato alzato dalla mamma per andare a scuola."
amare,/a'mare/,"Strong emotional attachment; romantic love or deep affection","adorare,voler bene",regular,"",contextual,"Una persona molto amata da tutti."
andare,/an'dare/,"Movement away from speaker; motion verbs use essere auxiliary","partire,recarsi",regular,"",contextual,"È andato via senza dire nulla."
aprire,/a'prire/,"To open doors, windows, containers, or begin something new","schiudere,dischiudere",regular,"aprito→aperto",contextual,"La porta è stata aperta dal portiere."
arrivare,/arri'vare/,"To reach a destination; uses essere auxiliary as motion verb","giungere,pervenire",regular,"",contextual,"Il treno è arrivato puntuale alla stazione."
ascoltare,/askol'tare/,"Active, intentional listening (music, instructions) vs passively hearing","sentire,udire",regular,"",contextual,"La musica ascoltata ieri sera era bellissima."
aspettare,/aspet'tare/,"To wait for someone or something; requires direct object","attendere,attendere",regular,"",contextual,"La persona aspettata non è ancora arrivata."
avere,/a'vere/,"Possession and auxiliary verb for compound tenses with most verbs","possedere,tenere",regular,"",contextual,"Ha avuto una vita molto interessante."
ballare,/bal'lare/,"To dance; social dancing or performance dancing","danzare,muo­versi a ritmo",regular,"",contextual,"La danza ballata era molto elegante."
bere,/'bere/,"To drink liquids; irregular verb with stem changes","bibere",regular,"",contextual,"Il vino bevuto ieri sera era eccellente."
cambiare,/kam'bjare/,"To change or modify something; transformation","modificare,mutare,trasformare",regular,"",contextual,"I piani cambiati hanno funzionato meglio."
camminare,/kammi'nare/,"To walk on foot; leisurely or purposeful walking","passeggiare,andare a piedi",regular,"",contextual,"La strada camminata era molto lunga."
cantare,/kan'tare/,"To sing songs or make musical sounds with voice","intonare,modulare",regular,"singed→sang",contextual,"La canzone cantata era molto emozionante."
capire,/ka'pire/,"To understand or comprehend; -isc verb with stem expansion","comprendere,afferrare",regular,"understanded→understood",contextual,"Il concetto capito è molto importante."
cavalcare,/kaval'kare/,"To ride a horse or bicycle; mount and control","montare",regular,"",contextual,"Il cavallo cavalcato era molto docile."
cenare,/tʃe'nare/,"To have dinner; evening meal specifically","pranzare (sera)",regular,"",contextual,"La cena cenata è stata deliziosa."
cercare,/tʃer'kare/,"To look for or search; seeking something specific","ricercare,investigare",regular,"",contextual,"L'oggetto cercato non è stato trovato."
chiamare,/kja'mare/,"To call someone by name or telephone","contattare,telefonare",regular,"",contextual,"La persona chiamata ha risposto subito."
chiedere,/ˈkjɛdere/,"To ask questions or request something from someone","domandare,richiedere,interrogare",regular,"",contextual,"La domanda chiesta era molto difficile."
