abito,dress,noun,masculine,'abito
acqua,water,noun,feminine,'akːwa
adesso,now,adverb,N/A,a'dɛsːo
adulto,adult,adjective,N/A,a'dulto
aereo/aeroplano,airplane,adjective,N/A,ˈmɪs.ɪŋ
agosto,August,noun,masculine,a'ɡosto
aiuto,help,noun,masculine,a'juto
albergo,hotel,noun,masculine,al'bɛrɡo
albero,tree,noun,masculine,'albero
alfabeto,alphabet,noun,masculine,alfa'bɛto
alto,tall/high,adjective,N/A,'alto
altro,other,adjective,N/A,'altro
amaro,bitter,adjective,N/A,a'maro
amico,friend (male),adjective,N/A,a'miko
amore,love,noun,masculine,a'more
anche,also,conjunction,N/A,'anke
ancora,again/yet,noun,feminine,'ankora
animale,animal,noun,masculine,ani'male
animale domestico,pet,,N/A,Not Found
anno,year,noun,masculine,'anːo
annoiato,bored,adjective,N/A,anːo'jato
aperto,open,adjective,N/A,a'pɛrto
aprile,April,noun,masculine,a'prile
arancia,orange,noun,feminine,a'rantʃa
arancione,orange (color),adjective,N/A,aran'tʃone
arrivederci,goodbye,interjection,N/A,arːive'dertʃi
auto,car,noun,feminine,'auto
autobus,bus,noun,invariable,'autobus
autunno,autumn fall,noun,masculine,au'tunːo
azzurro,light blue,adjective,N/A,a'dːzurːo
bagno,bath/bathroom,noun,masculine,'baɲo
ballo,dance,noun,masculine,'balːo
bambina,kid (female),noun,N/A,Not Found
bambino,kid (male),noun,masculine,bam'bino
banana,banana,noun,feminine,ba'nana
banca,bank,noun,feminine,'banka
bar,bar,noun,invariable,bar
barba,beard,noun,feminine,'barba
barca,boat,noun,feminine,'barka
basket,basketball,,N/A,Not Found
basso,low/small,adjective,N/A,'basːo
bello,beautiful/nice,adjective,N/A,'bɛlːo
bene,well,adverb,N/A,'bɛne
bevanda/bibita,drink,adjective,N/A,ˈmɪs.ɪŋ
bianco,white,adjective,N/A,'bjanko
biondo,blonde,adjective,N/A,'bjondo
bicchiere,(drinking) glass,noun,masculine,bi'kːjɛre
bici/bicicletta,bicycle,adjective,N/A,ˈmɪs.ɪŋ
biglietto,ticket,noun,masculine,bi'ʎetːo
birra,beer,noun,feminine,'birːa
biscotto,cookie,noun,masculine,bis'kɔtːːo
bisogno,need,noun,masculine,bi'zoɲo
blu,blue,adjective,N/A,blu
bocca,mouth,noun,feminine,'bokːa
borsa,bag,noun,feminine,'borsa
braccio,arm,noun,masculine,'bratː∫o
bravo,good/capable,adjective,N/A,'bravo
buongiorno,good morning,interjection,N/A,bwon'dʒorno
buon pomeriggio,good afternoon,,N/A,Not Found
buonanotte,good night,interjection,N/A,bwona'nɔtːe
buonasera,good evening,interjection,N/A,bwona'sera
buono,good,adjective,N/A,'bwɔno
burro,butter,noun,masculine,'burːo
caffè,coffee,noun,invariable,ka'fːɛ
calcio,soccer/kick,noun,masculine,'kaltʃo
caldo,hot,adjective,N/A,'kaldo
calza,sock,noun,feminine,'kaltsa
camera,room,noun,feminine,Not Found
camera da letto,bedroom,,N/A,Not Found
cameriera,waitress,noun,N/A,Not Found
cameriere,waiter,noun,masculine,Not Found
camicia,shirt,noun,feminine,Not Found
cane,dog,noun,masculine,Not Found
canzone,song,noun,feminine,Not Found
capelli,hair,noun plural,N/A,Not Found
cappello,hat,noun,masculine,ka'pːɛlːo
cappuccino,cappuccino,noun,masculine,kapːu'tːʃino
carne,meat,noun,feminine,'karne
caro,expensive/dear,adjective,N/A,'karo
carta,paper,noun,feminine,'karta
casa,house/home,noun,feminine,'kasa
castano,brown-haired,adjective,N/A,kas'tano
cattivo,bad,adjective,N/A,ka'tːivo
cavallo,horse,noun,masculine,ka'valːo
cellulare,mobile/phone,adjective,N/A,tʃelːu'lare
cena,dinner,noun,feminine,'tʃena
chi,who,pronoun,N/A,ki
chiamata,call,noun,feminine,kja'mata
chiave,key,noun,feminine,'kjave
chitarra,guitar,noun,masculine,ki'tarːa
chiuso,closed,adjective,N/A,'kjuso
ciao,hello/hi,interjection,N/A,'tʃao
ciascuno,both/each,adjective,N/A,tʃas'kuno
cibo,food,noun,masculine,'tʃibo
cinema,cinema,noun,masculine,'tʃinema
cinque,five,adjective,N/A,'t∫inkwe
cioccolato,chocolate,noun,masculine,t∫okːo'lato
città,city,noun,invariable,t∫i'tːa
classe,classroom,noun,feminine,'klasːe
cognome,surname,noun,masculine,ko'ɲome
colazione,breakfast,noun,feminine,kola'tsjone
colore,color,noun,masculine,ko'lore
coltello,knife,noun,masculine,kol'tɛlːo
come,how/as/like,adverb,N/A,'kome
compiti,homework,noun plural,N/A,Not Found
compleanno,birthday,noun,masculine,komple'anːo
computer,computer,noun,invariable,kom'pjuter
conversazione,conversation,noun,feminine,konversa'tsjone
corpo,body,noun,masculine,'kɔrpo
corretto,correct,adjective,N/A,ko'rːɛtːo
corso,course,noun,masculine,'korso
corto,short,adjective,N/A,'korto
cosa,what/thing,noun,feminine,'kɔsa
cucina,kitchen,noun,feminine,ku'tʃina
cuoco,cook,noun,masculine,'kwɔko
data,date,noun,feminine,'data
davanti,in front of,adverb,N/A,da'vanti
davvero,really,adverb,N/A,da'vːero
dente,tooth,noun,masculine,'dɛnte
dentro,inside,adverb,N/A,'dentro
destra,right (direction),noun,feminine,'dɛstra
