infinitive,tense,person,new_example,new_example_english
piacere,presente,io,"Piaccio sempre alle persone gentili che apprezzano la sincerità e l'onestà","I always appeal to kind people who appreciate sincerity and honesty"
piacere,presente,tu,"Tu piaci a quella ragazza che incontri ogni giorno alla fermata dell'autobus?","Do you appeal to that girl you meet every day at bus stop?"
piacere,presente,lui,"Lei piace molto ai suoi studenti perché è paziente e comprensiva","She is very popular with her students because she's patient and understanding"
piacere,presente,noi,"Piacciamo ai nostri vicini di casa perché siamo sempre disponibili ad aiutare","We appeal to our neighbors because we're always available to help"
piacere,presente,voi,"Voi piacete ai vostri colleghi di lavoro per la vostra professionalità?","Do you appeal to your work colleagues for your professionalism?"
piacere,presente,loro,"Piacciono a tutti perché hanno un carattere allegro e positivo","They appeal to everyone because they have cheerful and positive character"
piacere,passato_prossimo,io,"Sono piaciuto immediatamente ai genitori della mia fidanzata durante la cena","I immediately appealed to my girlfriend's parents during dinner"
piacere,passato_prossimo,tu,"Sei piaciuto al direttore durante il colloquio di lavoro che hai sostenuto?","Did you appeal to director during job interview you took?"
piacere,passato_prossimo,lui,"È piaciuto a tutti i professori per la sua dedizione agli studi","He appealed to all professors for his dedication to studies"
piacere,passato_prossimo,noi,"Siamo piaciuti alla famiglia che ci ha ospitato durante il viaggio","We appealed to family that hosted us during trip"
piacere,passato_prossimo,voi,"Siete piaciuti ai clienti per il servizio eccellente che avete fornito?","Did you appeal to customers for excellent service you provided?"
piacere,passato_prossimo,loro,"Sono piaciuti al pubblico durante lo spettacolo che hanno messo in scena","They appealed to audience during show they staged"
piovere,presente,io,"Piovo sempre nel momento sbagliato quando la gente organizza feste all'aperto","I always rain at wrong time when people organize outdoor parties"
piovere,presente,tu,"Tu piovi spesso in questa regione durante la stagione delle piogge?","Do you often rain in this region during rainy season?"
piovere,presente,lui,"Piove sempre quando dimentichiamo l'ombrello a casa durante le uscite","It always rains when we forget umbrella at home during outings"
piovere,presente,noi,"Pioviamo tutto il giorno e i contadini sono felici per i raccolti","We rain all day and farmers are happy for crops"
piovere,presente,voi,"Piovete spesso durante l'estate in questa zona montana del paese?","Do you often rain during summer in this mountainous area of country?"
piovere,presente,loro,"Piovono gocce enormi che fanno rumore sul tetto della casa","They rain huge drops that make noise on house roof"
piovere,futuro_semplice,io,"Pioverò sicuramente domani secondo le previsioni meteorologiche accurate","I will surely rain tomorrow according to accurate weather forecasts"
piovere,futuro_semplice,tu,"Tu pioverai durante la festa di matrimonio che si terrà in giardino?","Will you rain during wedding party that will be held in garden?"
piovere,futuro_semplice,lui,"Pioverà per tutta la settimana secondo i meteorologi esperti","It will rain all week according to expert meteorologists"
piovere,futuro_semplice,noi,"Pioveremo abbondantemente per riempire i serbatoi d'acqua della città","We will rain abundantly to fill city water reservoirs"
piovere,futuro_semplice,voi,"Pioverete durante le vacanze che abbiamo pianificato al mare?","Will you rain during beach vacation we planned?"
piovere,futuro_semplice,loro,"Pioveranno per giorni consecutivi portando sollievo alla siccità","They will rain for consecutive days bringing relief to drought"
piovere,passato_prossimo,io,"Ho piovuto tutta la notte allagando le strade della città bassa","I rained all night flooding streets of lower city"
piovere,passato_prossimo,tu,"Hai piovuto durante la partita di calcio rovinando il campo?","Did you rain during soccer game ruining field?"
piovere,passato_prossimo,lui,"È piovuto per tre giorni consecutivi causando problemi di traffico","It rained for three consecutive days causing traffic problems"
piovere,passato_prossimo,noi,"Abbiamo piovuto abbondantemente riempiendo tutti i pozzi della regione","We rained abundantly filling all wells in region"
piovere,passato_prossimo,voi,"Avete piovuto durante il picnic che era stato organizzato nel parco?","Did you rain during picnic that was organized in park?"
piovere,passato_prossimo,loro,"Hanno piovuto gocce di grandine danneggiando le auto parcheggiate","They rained hail drops damaging parked cars"
portare,presente,io,"Porto sempre con me un libro interessante per leggere durante i viaggi","I always carry interesting book with me to read during trips"
portare,presente,tu,"Tu porti mai fiori alla tua fidanzata per farle una sorpresa romantica?","Do you ever bring flowers to your girlfriend to give her romantic surprise?"
portare,presente,lui,"Lei porta i bambini a scuola ogni mattina prima di andare al lavoro","She takes children to school every morning before going to work"
portare,presente,noi,"Portiamo sempre regali quando andiamo a trovare parenti e amici","We always bring gifts when visiting relatives and friends"
portare,presente,voi,"Voi portate spesso le borse della spesa pesanti ai vostri genitori anziani?","Do you often carry heavy shopping bags for your elderly parents?"
portare,presente,loro,"Portano fortuna a tutti quelli che li incontrano sulla loro strada","They bring luck to everyone who meets them on their path"
portare,futuro_semplice,io,"Porterò mia figlia all'altare nel giorno del suo matrimonio con emozione","I will walk my daughter down aisle on her wedding day with emotion"
portare,futuro_semplice,tu,"Tu porterai finalmente quella valigia pesante che stai trascinando da ore?","Will you finally carry that heavy suitcase you've been dragging for hours?"
portare,futuro_semplice,lui,"Lei porterà buone notizie alla famiglia quando tornerà dal viaggio","She will bring good news to family when returning from trip"
portare,futuro_semplice,noi,"Porteremo aiuti umanitari alle popolazioni colpite dal disastro naturale","We will bring humanitarian aid to populations affected by natural disaster"
portare,futuro_semplice,voi,"Voi porterete i vostri bambini al parco divertimenti durante il weekend?","Will you take your children to amusement park during weekend?"
portare,futuro_semplice,loro,"Porteranno innovazione nel settore tecnologico con le loro ricerche avanzate","They will bring innovation to technology sector with their advanced research"
portare,passato_prossimo,io,"Ho portato mia madre dal medico per un controllo di routine","I took my mother to doctor for routine checkup"
portare,passato_prossimo,tu,"Hai portato tutti i documenti necessari per completare la pratica burocratica?","Did you bring all necessary documents to complete bureaucratic procedure?"
portare,passato_prossimo,lui,"Ha portato felicità nella vita di tante persone con la sua generosità","He brought happiness into many people's lives with his generosity"
portare,passato_prossimo,noi,"Abbiamo portato la macchina dal meccanico per riparare il motore","We took car to mechanic to repair engine"
portare,passato_prossimo,voi,"Avete portato abbastanza cibo per tutti gli invitati della festa?","Did you bring enough food for all party guests?"
portare,passato_prossimo,loro,"Hanno portato scompiglio nella vita tranquilla del piccolo paese","They brought upheaval to peaceful life of small village"
potere,presente,io,"Posso sempre contare sull'aiuto della mia famiglia durante i momenti difficili","I can always count on my family's help during difficult moments"
potere,presente,tu,"Tu puoi venire alla festa di compleanno che organizziamo sabato sera?","Can you come to birthday party we're organizing Saturday evening?"
potere,presente,lui,"Lei può suonare il pianoforte magnificamente dopo anni di studio costante","She can play piano magnificently after years of constant study"
potere,presente,noi,"Possiamo risolvere questo problema se lavoriamo insieme con determinazione e pazienza","We can solve this problem if we work together with determination and patience"
potere,presente,voi,"Voi potete aiutarci a spostare questi mobili pesanti nel appartamento nuovo?","Can you help us move this heavy furniture to new apartment?"
potere,presente,loro,"Possono raggiungere qualsiasi obiettivo se continuano ad impegnarsi con passione","They can achieve any goal if they continue working with passion"
potere,futuro_semplice,io,"Potrò finalmente realizzare il mio sogno quando avrò risparmiato abbastanza denaro","I will be able to finally realize my dream when I save enough money"
